,artist,track,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7232,Ariana Grande,7 rings (feat. 2 Chainz) - Remix,6AyI8UGx8Y4peb7pLOy2pf,57,0.78,0.341,1,-10.162,0,0.465,0.517,0.0,0.0873,0.342,70.011,178640,4
7233,Gxx,Winnie Tha Pxxh,3NqBqTUzf0JJD8hdh2vKEQ,52,0.666,0.711,9,-8.05,1,0.07,0.209,0.000656,0.105,0.573,140.041,171429,4
7234,Zlatan,Killin Dem,4cxyQw1AKCVqa9JVSN7njk,59,0.876,0.808,3,-5.382,0,0.176,0.107,0.00447,0.121,0.745,112.923,220885,4
7235,Steve Miller Band,Macho City - Short Version,4hCJaKLPUa6o6Vcfm4nH4B,20,0.747,0.713,11,-6.866,0,0.0852,0.0789,0.0,0.371,0.83,104.605,203240,4
7236,Cruz,Ya No Soy Así,5ldzmvKCSAT0BEeplaZYcS,65,0.798,0.746,1,-4.16,1,0.101,0.137,1.54e-05,0.0478,0.541,100.036,177369,4
7237,Little Brother,Black Magic (Make It Better),19Dqy71XekURex0XMKvfR8,52,0.677,0.733,1,-5.324,1,0.191,0.033,0.00303,0.152,0.764,88.034,153867,4
7238,blackbear,DOWN,2qCsMHBhz2qtQZ7m10DlO9,54,0.76,0.662,3,-5.451,0,0.107,0.107,0.000427,0.084,0.846,148.026,139566,4
7239,Kiana Ledé,EX,0731TbC7MnfC85RcogVw5k,51,0.773,0.534,0,-7.007,1,0.148,0.235,0.0,0.108,0.439,73.503,222373,4
7240,Colt Ford,"Bring That ""W"" Home",20Voi45bP2H0uxRQUYSa0e,39,0.512,0.838,9,-4.353,1,0.0453,0.00993,2.68e-05,0.32,0.744,134.015,202000,4
7241,Stick Figure,Cocoa de Rock,0KQXwmGGMOZpiGcjfBY7yS,52,0.855,0.567,6,-7.18,0,0.049,0.114,0.00441,0.0902,0.955,139.004,247109,4
7242,Offset,After Dark,1taKClbaJhl9FXdtM4hNBe,54,0.8,0.696,6,-7.004,0,0.228,0.25,1.4e-06,0.0894,0.189,100.003,172881,4
7243,HappyBirthdayCalvin,Kari's Song (Long Way Home) (feat. Tati),3JhReSCgbNfkntM7LRl8Zz,60,0.614,0.613,11,-6.878,1,0.152,0.176,0.0,0.126,0.178,152.041,219484,4
7244,Crisaunt,Skater Shawty,6hvl9q1FSjyV4aaaxEYgz8,52,0.688,0.368,0,-15.412,1,0.0934,0.459,0.000121,0.147,0.339,80.01,141672,4
7245,Gigolo Y La Exce,Rasta Barbie,0toiauJr7KHvVk9cPTwfli,65,0.856,0.502,6,-6.933,1,0.178,0.0256,0.00295,0.0797,0.633,90.97,146773,4
7246,STARSET,WAKING UP,2K86ys0IAyIzJnFLeaGlRU,54,0.554,0.707,8,-6.858,0,0.0387,0.00812,9.43e-06,0.126,0.613,151.961,229373,4
7247,Moneybagg Yo,No Filter,4kGKvPLGQXn4X8gWm35cSn,50,0.89,0.682,11,-6.135,1,0.212,0.0045,0.0,0.116,0.302,133.02,170487,4
7248,I DONT KNOW HOW BUT THEY FOUND ME,Choke - Acoustic,7DAUTcJYMybdyEC033uT9e,54,0.556,0.694,2,-3.011,1,0.0306,0.136,0.000309,0.0629,0.658,120.322,201000,4
7249,Teodor Wolgers,sensations,0UaE9GrJ28alAptLY3KjtL,56,0.328,0.00693,1,-30.619,1,0.0456,0.995,0.918,0.102,0.156,67.504,110000,5
7250,Maxo Kream,Still,1JoJIxAA1a7RIobbna39JV,51,0.901,0.458,1,-8.972,1,0.107,0.00576,0.0,0.15,0.178,114.055,145458,4
7251,Sabaton,Devil Dogs,0tw3He76zoGzMjsnW8cRCQ,56,0.447,0.99,1,-5.329,1,0.206,0.00133,0.000164,0.351,0.113,151.973,197120,4
7252,Rammstein,PUPPE,2iFgHPoa7FNHwgLnjXzu7F,70,0.581,0.822,11,-7.341,1,0.0574,0.0229,0.0,0.126,0.3,116.929,273707,4
7253,Koe Wetzel,One and Only,4X63tRsCVrOstEAUA3Q0Pj,50,0.396,0.734,7,-5.364,1,0.0329,0.0113,0.0,0.139,0.372,153.777,227249,4
7254,Fredo Bang,Oouuh - Remix,6fSKK3lEpCvAx1UUl5p8Qi,50,0.717,0.694,5,-5.852,0,0.155,0.564,0.0,0.145,0.743,154.852,167309,4
7255,Randy Houser,No Stone Unturned,6iFZZn1BcsHzSP13598ujN,52,0.677,0.78,11,-6.013,1,0.035,0.194,0.0956,0.123,0.368,107.014,261200,4
7256,Skillet,Terrify the Dark,6wGzrGwqJKQ7PW3wh04ZYo,56,0.478,0.816,11,-4.288,1,0.0451,0.00165,0.0,0.356,0.264,75.959,225468,4
